Results_Name,VSPAERO_History
Results_Timestamp,1776908982
Results_Date,4,23,2026
Results_Time,7,19,42
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,1.003275104499999973e-02,9.355613738000000124e-03
CDiw,0.000000000000000000e+00,5.324521524999999665e-03,4.901720414000000116e-03
CDo,4.591116727999999814e-03,5.031690208000000157e-03,5.046837884000000135e-03
CDtot,4.591116727999999814e-03,1.506444125300000075e-02,1.440245162200000026e-02
CDwtot,4.591116727999999814e-03,1.035621173299999982e-02,9.948558297999999384e-03
CFxi,0.000000000000000000e+00,1.003275104499999973e-02,9.355613738000000124e-03
CFxiw,0.000000000000000000e+00,5.324521524999999665e-03,4.901720414000000116e-03
CFxo,4.591116727999999814e-03,5.031690208000000157e-03,5.046837884000000135e-03
CFxtot,4.591116727999999814e-03,1.506444125300000075e-02,1.440245162200000026e-02
CFxwtot,4.591116727999999814e-03,1.035621173299999982e-02,9.948558297999999384e-03
CFyi,0.000000000000000000e+00,-5.994374776800000248e-02,-5.991590021800000110e-02
CFyiw,0.000000000000000000e+00,-9.451458031999999260e-03,-9.631915208000000478e-03
CFyo,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CFytot,0.000000000000000000e+00,-5.994374776800000248e-02,-5.991590021800000110e-02
CFywtot,0.000000000000000000e+00,-9.451458031999999260e-03,-9.631915208000000478e-03
CFzi,0.000000000000000000e+00,-4.267639178200000050e-02,-3.349523236199999920e-02
CFziw,0.000000000000000000e+00,-1.999224198799999866e-02,-1.390037633900000069e-02
CFzo,-1.951931000000000116e-06,-1.955273999999999857e-06,-1.957740999999999981e-06
CFztot,-1.951931000000000116e-06,-4.267834705600000167e-02,-3.349719010300000049e-02
CFzwtot,-1.951931000000000116e-06,-1.999419726199999983e-02,-1.390233408000000025e-02
CLi,0.000000000000000000e+00,-4.267639178200000050e-02,-3.349523236199999920e-02
CLiw,0.000000000000000000e+00,-1.999224198799999866e-02,-1.390037633900000069e-02
CLo,-1.951931000000000116e-06,-1.955273999999999857e-06,-1.957740999999999981e-06
CLtot,-1.951931000000000116e-06,-4.267834705600000167e-02,-3.349719010300000049e-02
CLwtot,-1.951931000000000116e-06,-1.999419726199999983e-02,-1.390233408000000025e-02
CMxi,0.000000000000000000e+00,1.818103805800000070e-02,1.745318210499999939e-02
CMxo,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
CMxtot,-0.000000000000000000e+00,1.818103805800000070e-02,1.745318210499999939e-02
CMyi,0.000000000000000000e+00,1.549303496059999952e-01,1.019128694760000065e-01
CMyo,5.623731769999999611e-04,5.812472599999999505e-04,5.836658670000000352e-04
CMytot,5.623731769999999611e-04,1.555115968659999959e-01,1.024965353430000031e-01
CMzi,0.000000000000000000e+00,-2.060978102499999923e-02,-2.089105379299999871e-02
CMzo,0.000000000000000000e+00,-2.853729999999999971e-07,9.269839999999999579e-07
CMztot,0.000000000000000000e+00,-2.061006639800000081e-02,-2.089012680900000085e-02
CSi,0.000000000000000000e+00,-5.994374776800000248e-02,-5.991590021800000110e-02
CSiw,0.000000000000000000e+00,-9.451458031999999260e-03,-9.631915208000000478e-03
CSo,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CStot,0.000000000000000000e+00,-5.994374776800000248e-02,-5.991590021800000110e-02
CSwtot,0.000000000000000000e+00,-9.451458031999999260e-03,-9.631915208000000478e-03
E,0.000000000000000000e+00,7.704497266000000059e-03,5.089588390999999663e-03
Ew,0.000000000000000000e+00,3.185894329999999861e-03,1.672990731999999961e-03
FC_AoA_,0.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,3.000000000000000000e+00
FC_Cref_,4.000000000000000222e-01
FC_Mach_,1.000000000000000056e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,1.000000000000000000e+07
FC_Rho_,2.377000000000000206e-03
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,1.199999999999999956e+00
FC_Vinf_,1.000000000000000000e+02
FC_Xcg_,0.000000000000000000e+00
FC_Yaw___Rate,0.000000000000000000e+00
FC_Ycg_,0.000000000000000000e+00
FC_Zcg_,0.000000000000000000e+00
L/D,0.000000000000000000e+00,-2.832922314590000212e+00,-2.325661855506000020e+00
L/Dw,0.000000000000000000e+00,-1.930458984833000047e+00,-1.397225198180999994e+00
Mach,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01
T/QS,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
WakeIter,1,2,3
WallTime,8.299999999899999870e-02,2.380000000009999950e-01,4.450000000000000067e-01
log10( L2Residual ),3.368452161750000173e-01,5.296037789490000147e-01,-2.056548944519999977e-01
log10( MaxResidual ),1.029590352025000044e+00,1.850434810839999944e+00,9.621619553300000405e-01
Results_Name,VSPAERO_History
Results_Timestamp,1776908982
Results_Date,4,23,2026
Results_Time,7,19,42
Alpha,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,1.218331213900000071e-02,1.186034066600000041e-02
CDiw,0.000000000000000000e+00,4.983495483999999913e-03,4.735123515000000047e-03
CDo,4.588251821999999973e-03,5.136069683000000358e-03,5.166150863999999579e-03
CDtot,4.588251821999999973e-03,1.731938182200000106e-02,1.702649152999999999e-02
CDwtot,4.588251821999999973e-03,1.011956516699999940e-02,9.901274378999999626e-03
CFxi,0.000000000000000000e+00,7.600835095000000284e-03,6.837792760000000088e-03
CFxiw,0.000000000000000000e+00,1.114531390000000053e-04,-4.939457309999999808e-04
CFxo,4.591116727999999814e-03,5.139268615000000366e-03,5.169368231999999647e-03
CFxtot,4.591116727999999814e-03,1.274010371000000065e-02,1.200716099200000060e-02
CFxwtot,4.591116727999999814e-03,5.250721754000000317e-03,4.675422501000000425e-03
CFyi,0.000000000000000000e+00,-1.270269448509999954e-01,-1.282187456470000042e-01
CFyiw,0.000000000000000000e+00,-1.034395974599999941e-02,-1.081632943100000084e-02
CFyo,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CFytot,0.000000000000000000e+00,-1.270269448509999954e-01,-1.282187456470000042e-01
CFywtot,0.000000000000000000e+00,-1.034395974599999941e-02,-1.081632943100000084e-02
CFzi,0.000000000000000000e+00,1.314376337850000076e-01,1.440339769700000050e-01
CFziw,0.000000000000000000e+00,1.396040258390000011e-01,1.498236032609999990e-01
CFzo,-1.951931000000000116e-06,-1.954988000000000009e-06,-1.957871000000000181e-06
CFztot,-1.951931000000000116e-06,1.314356787969999940e-01,1.440320190990000138e-01
CFzwtot,-1.951931000000000116e-06,1.396020708509999875e-01,1.498216453900000078e-01
CLi,0.000000000000000000e+00,1.310923002100000123e-01,1.437075998369999885e-01
CLiw,0.000000000000000000e+00,1.395150931799999938e-01,1.497495732269999991e-01
CLo,-1.621784049999999992e-04,-1.813116849999999998e-04,-1.823650280000000030e-04
CLtot,-1.621784049999999992e-04,1.309109885249999938e-01,1.435252348090000074e-01
CLwtot,-1.621784049999999992e-04,1.393337814950000031e-01,1.495672081989999902e-01
CMxi,0.000000000000000000e+00,2.162339011900000010e-02,2.128906866899999903e-02
